Alias,Localization,IP
treB,IntegralMembraneProtein,2.38
ydhI,IntegralMembraneProtein,2.38
fxsA,IntegralMembraneProtein,2.37
ybaL,IntegralMembraneProtein,2.37
cmr,IntegralMembraneProtein,2.36
mgtA,IntegralMembraneProtein,2.35
tatC,IntegralMembraneProtein,2.35
yegE,IntegralMembraneProtein,2.35
yhhM,Membrane-anchored,2.35
ansP,IntegralMembraneProtein,2.34
ycfZ,IntegralMembraneProtein,2.34
srlD,Cytoplasmic,2.33
zntA,IntegralMembraneProtein,2.32
envZ,IntegralMembraneProtein,2.31
cydC,IntegralMembraneProtein,2.3
yehU,IntegralMembraneProtein,2.3
yhhJ,IntegralMembraneProtein,2.3
phoE,OutermembraneProtein,2.3
acrD,IntegralMembraneProtein,2.29
baeS,IntegralMembraneProtein,2.29
bcsG,IntegralMembraneProtein,2.29
ftsW,IntegralMembraneProtein,2.27
yrbE,IntegralMembraneProtein,2.27
aroP,IntegralMembraneProtein,2.26
yjcC,IntegralMembraneProtein,2.24
mdtA,Periplasmic,2.24
yjiY,IntegralMembraneProtein,2.22
ytfB,Cytoplasmic,2.21
ynaI,IntegralMembraneProtein,2.21
manZ,IntegralMembraneProtein,2.2
cyoB,IntegralMembraneProtein,2.18
yfeA,IntegralMembraneProtein,2.18
gadX,Cytoplasmic,2.17
pstC,IntegralMembraneProtein,2.17
rcnA,IntegralMembraneProtein,2.17
nlpC,Lipoprotein,2.17
pntA,IntegralMembraneProtein,2.16
pheP,IntegralMembraneProtein,2.15
yebZ,IntegralMembraneProtein,2.15
yggT,IntegralMembraneProtein,2.15
focA,IntegralMembraneProtein,2.14
rho,Cytoplasmic,2.13
arnC,IntegralMembraneProtein,2.13
yebS,IntegralMembraneProtein,2.12
cstA,IntegralMembraneProtein,2.11
yneG,-,2.1
ccmE,IntegralMembraneProtein,2.1
pgpA,IntegralMembraneProtein,2.09
yeaJ,IntegralMembraneProtein,2.09
csrD,IntegralMembraneProtein,2.07
ybbP,IntegralMembraneProtein,2.07
ydhP,IntegralMembraneProtein,2.07
yjeP,IntegralMembraneProtein,2.07
kefB,IntegralMembraneProtein,2.04
ygaZ,IntegralMembraneProtein,2.04
wzzE,IntegralMembraneProtein,2.03
yebN,IntegralMembraneProtein,2.02
tolA,Membrane-anchored,2.02
pcnB,Cytoplasmic,2.01
yedI,IntegralMembraneProtein,2.01
rlpB,OutermembraneLipoprotein,2.01
mdtC,IntegralMembraneProtein,2
ydjM,IntegralMembraneProtein,2
yqaA,IntegralMembraneProtein,2
