GeneName
ssrA
fiu
lysR
dauA
ydgC
hypB
hcaR
yjjA
yiiM
rffT
hcxA
chaA
ybgP
betI
fetA
ynfA
skp
pdeF
yicC
yihS
yzgL
mtlD
ybaK
accD
ybeX
cysH
xapB
ynfN
glpE
eutM
tsaD
puuB
yhfZ
aceB
prmC
bglF
ybdR
oppB
uhpT
yneE
frr
eutL
raiA
lplA
kefG
livH
ydiE
ygbN
ybcY
nuoI
murF
yddW
ffh
yfeO
rem
ybbC
gspA
lldD
prkB
mdtJ
renD
trpS
yncD
dnaX
yfdT
cspD
yddB
degQ
garL
yaeI
yagG
allR
narW
ydcJ
dedA
yfdF
mtn
adeP
mlaB
hycF
yacG
lysC
ylaC
nanT
thiK
paaH
cirA
mnmC
uvrD
yidF
lpoA
yajL
sgbE
artP
yaiW
mtr
tatA
uspF
atpI
yfbN
topB
slyX
yhaK
hcaF
bcsF
argT
prpC
ydaS
mepM
nudI
sspB
eamA
ygjP
gpt
gadX
appB
ykgH
insC-4
thiP
mpaA
rffG
rcnB
sbcC
moaD
yqiG
ugpQ
yhhQ
uxaA
ecpE
insH-4
sapF
ycjD
yegK
rpsK
fixA
yqhA
gadA
seqA
speB
yagF
pmrR
nrdG
ymgE
wcaL
rpmE
pppA
ibpA
glk
ccmD
pabC
ykfG
ymiA
rhaB
ymgC
yoeA
rplJ
yqgD
mog
glnH
rhtA
atoB
yjeV
yafQ
proC
ymfL
hprS
ftnB
lptE
ghxQ
wzxE
gapA
nlpD
pfkB
yjbT
insA-1
serC
ldtC
tcyJ
yebY
relB
xdhB
argK
ydbA_2
ftp
ykfM
fumA
hisA
clsC
mlaF
yoaH
ptrA
yqeK
dps
rihB
insEF-1
fbaA
pnuC
pgaA
lgoT
yeaO
polB
queF
fliS
yehU
iadA
ypeB
flgI
insB-4
pgsA
actP
ydjH
phnF
queD
dinG
wbbK
yjhU
ymgH
fecE
folA
pqiC
feaB
yhjV
cedA
ompF
hycI
ligB
alsE
lptF
sgcB
exuT
dgoK
ycaR
pdxK
lptA
ydiQ
mutS
rng
dusA
ytfI
hokE
rmf
cysS
amiD
tdcR
yejA
ydhV
minD
yfjU
waaH
yjaG
bsmA
hybO
yciN
cynS
rimO
envY
ydeE
ydhI
ligA
yfjF
yggF
sbmC
epmB
modB
ybaM
cmk
fxsA
mhpT
mug
citE
ybhQ
ihfA
lolD
tqsA
hycA
trmJ
epmA
frvR
dgoR
mgsA
yceK
chbC
nei
malT
afuC
intQ
hipB
bepA
htrL
yihM
nfuA
ybcH
caiT
hscC
coaD
avtA
ydfN
mnmG
eutJ
ygiC
ispF
yhfW
lyxK
nudK
cysI
ybdN
hemC
ugpB
lsrF
fliC
yfeZ
xapR
wcaI
tusD
csiR
yfaV
ybcV
nuoF
udk
ddpX
fepA
ypdE
yciF
yibI
yrdB
nadB
yfaE
ydfJ
sfmD
nirB
trkA
mnaT
dnaN
yfdQ
entH
nfrB
nanR
aceA
btuF
hisG
ylbG
narK
torA
hrpA
dcm
fadJ
secM
yidZ
yhbX
hycC
iscX
panD
ybaY
nagE
thiG
paaE
creD
yfcG
uvrA
yicN
yraJ
hisI
yiaO
artI
yaiT
motA
gatY
tfaR
ascB
yfbK
tolR
yedF
yhaH
folX
bcsQ
argH
yahO
spoT
xisR
dfp
yfaX
srmB
nohA
higA
gntU
yhiS_1
trpD
ykgE
insEF-5
cysE
ycjX
rfbC
yegX
ruvB
ybeD
cpdA
glgB
yhhL
cysJ
paoA
insI-3
sapB
yciT
yegH
rpsH
hypF
yghX_1
gor
cbpM
agaC
insB-2
araB
ldcA
wzzB
rpmB
yghE
ydcC
galU
mukF
cysM
yqcG
rfbX
ycgZ
nac
rplE
yggP
rlmE
rfe
hscB
ackA
ibsA
lpcA
putP
ymfJ
yedS_2
flhE
rimK
ygfM
tatC
galT
ppdD
ygdT
yaaX
purF
ycfP
yebV
recO
ygeQ
yceF
yjjW
ccmG
frdA
gpp
csgC
yphE
yoaA
pspD
yqeH
holA
yeiG
yjiT
ytjA
fruA
pykA
pgaD
yjhB
yoaI
pmbA
truC
ahpC
yehR
yjiC
yohO
flgF
dmsA
gfcC
glmM
yihP
ynjI
pepQ
casC
waaJ
wbbH
insO-2
ybfQ
fecB
dapF
rlmL
gpmM
dtpB
ydjM
ogt
pncC
nrdR
mdtN
rraB
dinQ
pdxB
dcuB
ycaP
pdxA
yhaO
ydiL
msbA
ygaQ
wzzE
zur
ytfF
ecnA
xylR
cysD
rlmC
galR
osmF
ydhU
mepA
ypjK
yifB
yijO
yjfL
hyfE
ydcH
caiA
fsaA
cra
ddpB
anmK
lamB
yfiR
ybhA
dctR
opgG
yjdI
mhpE
yedJ
ybhN
gatR_2
ssuC
ynfL
hyaD
iscU
arpA
yiiF
insH-1
menD
mdaB
cdh
ybgJ
rhaR
yadG
ydfW
hflX
hyfJ
yhhA
yihI
yhgE
maa
ycfJ
cadB
ybeT
pabA
ushA
ydfK
ispG
eutA
fumE
aidB
yhfT
lysP
ychO
uidA
ybdK
menC
murB
ydeU
fimG
yfeW
yfaA
grcA
gspL
leuD
yecE
mdtD
rrrD
nuoB
tyrS
yddL
fdhE
ypdB
yciC
yibF
yhdU
ilvC
rtcR
mdtH
ylbF
nikC
otsA
ortT
dnaG
yfdN
ybaB
efeB
yhcF
guaB
thpR
atpF
ybbN
narH
thiM
ynbC
dacC
yfcU
mraZ
yidR
yhbU
hybA
yfhH
aspA
queC
thiC
paaB
cca
yfcD
umuD
yicH
agaI
hisP
yiaK
aroL
yaiF
yneM
sodB
insH-5
apaG
elaA
tolB
fliH
yqjK
srlB
bcsZ
speA
yahL
srlD
ydaN
aceF
yfaT
trmH
eptA
ygjH
guaA
rlmJ
ansB
rclB
insEF-2
secF
ycjU
dppF
yegU
rpsU
ybiB
qseB
gldA
crcB
phoA
paoD
insAB-6
metK
yciO
wzc
rpsE
yghT
hisH
ptsP
glpD
insO-1
ribD
ycgM
yeeX
rplW
mltC
ybfC
gltS
ppnP
acrF
yohP
ykfJ
rbsC
ycgX
yeeL_1
rplB
scpB
trmO
gmd
lrhA
ibsD
yafU
purE
xisE
yodC
cutC
rhsD
mocA
bioP
lacA
yeiR
leuB
ynhF
fliJ
proW
ycfL
yebS
recG
ygeO
msrA
rsmC
yejM
yncK_1
fucP
potI
csgF
yojI
yeaX
pspA
tas
psiF
yohJ
yjiQ
ghoT
fdhF
pitA
rutA
ulaB
cdgI
phr
ygcG
sufA
yehM
nanS
yecJ
fpr
ldhA
etp
phnL
yifK
ynjF
pepD
cas1
waaS
fliP
yjhD
rzoD
fdnH
mhpB
ycbV
serA
zntA
yniA
nusA
ygaH
dusB
nrfG
bdcR
entE
dctA
lolA
soxR
ttdT
menI
mreD
pinH
yghA
yjbH
ytfB
hyfC
ybaE
cyoC
ybjM
gatR_1
yehW
ydhR
mcrA
yfjP
iraP
pflD
yjfI
alaB
opgD
cpdB
ybiV
fucR
ddpF
rsxD
kdpA
yfiP
pdeL
yfhL
rpmJ
hslU
phnE_2
mgtA
ygbE
pheA
ybhK
hns
ycaD
ynfH
degP
yfgM
yihA
dtd
insB-1
mdlB
yiaG
ccmB
ybfO
oxyR
xylB
ydfU
hemY
ypfH
bfd
srkA
yrfG
malK
menH
btuD
ybeQ
pyrE
hemE
ydfH
ftsZ
yffQ
fau
yebE
frlD
ltaE
chaB
yjeH
ybdG
nupG
wecC
ydeS
fimD
yfeS
yebC
ydeK
gspI
lldP
ycaI
yebQ
rusA
nrfD
ttdB
nhoA
exbB
yfdY
tfaE
yciK
tldD
kduD
tcyN
ybhI
allD
pncB
treB
hicB
dnaB
yfdK
yajD
ravA
yhcC
idnD
yadM
atpC
ybbJ
napH
thrC
insI-2
cvpA
yfcR
ispH
glvG
yhbQ
mngA
envC
asnB
ppiD
nadE
tehA
feaR
bisC
yfbU
tufB
hpf
agaV
wecH
aroG
yaiO
yncL
astC
ydaY
ampE
arnF
tig
yafE
yqjC
gmk
yhjJ
araH
yahI
insCD-6
cysG
abgR
sucA
yfaQ
bamE
smg
yqjI
glyQ
yhiN
glpB
ykgM
insE-3
secB
