GeneName
fdhF
fdoG
fdnG
prfB
dnaX
tufA
tufB
gadA
gadB
ynaE
ydfK
ldrA
ldrC
ybfD
yhhI
tfaR
tfaQ
rzoD
rzoR
pinR
pinQ
insA-1
insA-2
insA-3
insA-4
insA-5
insA-6
insA-7
insAB-1
insAB-2
insAB-3
insAB-4
insAB-5
insAB-6
insB-1
insB-2
insB-4
insC-1
insC-2
insC-3
insC-4
insC-5
insC-6
insCD-1
insCD-2
insCD-3
insCD-4
insCD-5
insCD-6
insD
insD-1
insE-1
insE-2
insE-3
insE-4
insE-5
insEF-1
insEF-2
insEF-3
insEF-4
insEF-5
insF-1
insG
insH-1
insH-10
insH-11
insH-2
insH-3
insH-4
insH-5
insH-6
insH-7
insH-8
insH-9
insI-1
insI-2
insI-3
insJ
insJK
insK
insL-1
insL-2
insL-3
insN-1
insN-2
insO-1
insO-2
insX
insD-7
insB-3
insB-3
insB-5
insB-6
insD-2
insD-4
insD-5
insD-6
insD-7
insF-2
insF-3
insF-4
insF-5
insQ
